,Tweet
976,                شكرا جزيلا على الرد والتوضيح 👍👍
977, شكرا على الإجابة، يعطيكم ألف عافية 🤲
978,"             حصل معي مطب   

توقعت أن البطاقة في توكلنا أصبحت تغني عن الهوية في كل شيء فلم اصطحبها معي في سفري لكنني تفاجأت بالبنك يشترطها "
979,                    الحوكمة الرقمية يجب أن تطبّق على جميع القطاعات الحكومية والخاصة ولا داعي للتشتت                         
980,                وش فيكم سحبتو 🙃🙃
981,"                       ننتظر الأخوة في الجوازات 

وللتنبيه 
١  الأبناء أقل من سن ١٢ عام
٢   تم التس                         "
982," 
السلام عليكم ورحمة الله وبركاته، إستفسار لو تكرمت
هل ممكن للزائر تفعيل تطبيق توكلنا قبل الوصول إلى المملكة؟"
983, تم التواصل مع وزاره الصحة وتم ارسال بيانات التحصين الى توكلنا رقم بلاغ         
984, مرحبا   جيت من خارج السعودية مقيم غير محصن و انتهيت من فترت الحجر الصحي و اخر فحص لم يثبت إصابتي ل                         
985,                                              بنحط لكم برج ماعليكم 😂😂😂
986,"             حصل معي مطب   

توقعت أن البطاقة في توكلنا أصبحت تغني عن الهوية في كل شيء فلم اصطحبها معي في سفري لكنني تفاجأت بالبنك يشترطها "
987, هل تتغير الحاله الصحيه بعد اخذ الجرعه التعزيزيه
988, جددت الاحوال يوم الاربعاء الماضي و استلمتها الخميس وحتى هذا اليوم لم تتغير الصورة الى الصورة الحديثة
989,"                                    تطبيق توكلنا من منجزات الوطن التي نفخر بها 
🇸🇦🇸🇦🇸🇦"
990,                        مرحبا بك أستاذ سعد، الهوية الوطنية وهوية مقيم عبر توكلنا تعد اثباتاً رسمياً معتمدا لإثبات الهوية لد 
991,"                    تطبيق توكلنا من منجزات الوطن التي نفخر بها 
🇸🇦🇸🇦🇸🇦"
992,                        مرحبا بك أستاذ سعد، الهوية الوطنية وهوية مقيم عبر توكلنا تعد اثباتاً رسمياً معتمدا لإثبات الهوية لد 
993, انا زائر ومحصن بالجرعتين وعندي فحص     لمده ٧٢ ساعه وحاطلي بالبرنامج اني حجر منزلي شلون اشيله ؟
994,                        مرحبا بك أستاذ سعد، الهوية الوطنية وهوية مقيم عبر توكلنا تعد اثباتاً رسمياً معتمدا لإثبات الهوية لد 
995, سلام عليكم  الرجاء تغير الحاله في توكلنا علماً بأني اخذت الجرعه الثانيه قبل   اشهر ولا تم التغير ت                         
996,                                                    شف لك احد يسجلها لك في السعودية او تواصل مع  يحلونها لك
997,                    سبق أن اعلنتم بأنها معتمدة لدى البنوك كذلك
998,                تم التواصل 🙏🏻
999,                     أنا محصن جونسون وظهر لي على توكلنا محصن جرعة أولي
1000,                          تواصلت مع           يقولو اُرسلت البيانات الى                و اتوصل معاك                         
1001,"                     شغال الان 
 ️ مكتب العمل والجوازات
 ️ تعديل جميع المهن
 ️ انجاز منصة قوى استخر                         "
1002,"                     شغال الان 
 ️ مكتب العمل والجوازات
 ️ تعديل جميع المهن
 ️ انجاز منصة قوى استخر                         "
1003,                    وجهك أبيض    وجلَّ من لا يسهو 🤍
1004,  دفعت مبلغ خدمة النقل ولا ظهرت لي بالتطبيق
1005,                   صدقت بيض الله وجهك
1006,"             حصل معي مطب   

توقعت أن البطاقة في توكلنا أصبحت تغني عن الهوية في كل شيء فلم اصطحبها معي في سفري لكنني تفاجأت بالبنك يشترطها "
1007,"             حصل معي مطب   

توقعت أن البطاقة في توكلنا أصبحت تغني عن الهوية في كل شيء فلم اصطحبها معي في سفري لكنني تفاجأت بالبنك يشترطها "
1008,                        مرحبا بك أستاذ سعد، الهوية الوطنية وهوية مقيم عبر توكلنا تعد اثباتاً رسمياً معتمدا لإثبات الهوية لد 
1009,"             حصل معي مطب   

توقعت أن البطاقة في توكلنا أصبحت تغني عن الهوية في كل شيء فلم اصطحبها معي في سفري لكنني تفاجأت بالبنك يشترطها "
1010,                    فاتتك هذي النقطة أجل                        
1011,                        مرحبا بك أستاذ سعد، الهوية الوطنية وهوية مقيم عبر توكلنا تعد اثباتاً رسمياً معتمدا لإثبات الهوية لد 
1012,"                    نفس الموقف تكرر  
مع التصريح بالهوية الالكترونية"
1013,"             حصل معي مطب   

توقعت أن البطاقة في توكلنا أصبحت تغني عن الهوية في كل شيء فلم اصطحبها معي في سفري لكنني تفاجأت بالبنك يشترطها "
1014,"             حصل معي مطب   

توقعت أن البطاقة في توكلنا أصبحت تغني عن الهوية في كل شيء فلم اصطحبها معي في سفري لكنني تفاجأت بالبنك يشترطها "
1015,"حصل معي مطب   

توقعت أن البطاقة في توكلنا أصبحت تغني عن الهوية في كل شيء فلم اصطحبها معي في سفري لكنني تفاجأت بالب                         "
1016,                                                    كلمتهم وحاولت الاتصالً بهم ما فية احد يرد
1017, أرسلت لكم المعلومات المطلوبة في الخاص
1018, أرسلت لكم المعلومات المطلوبة على الخاص
1019,"                        القاح 
عادي اخذ الجرعة الثانية بعد مرور    يوم على الاولى ؟ نوع لقاح الجرعه الاولى مودرينا"
1020,                                                 نعتذر لذلك ونؤكّد لكم أن ملاحظاتكم محل اهتمامنا وع                         
1021,"                                                                                      
                       "
1022,"                       

كيف يمكنني إضافة الأبناء دون سن ١٢عام في حسابي على تطبيق توكلنا بدون تعريف                         "
1023,"                 اريد تعريف رقم جوال ل شخص اخر من خلال تطبيق توكلنا الخاص بي
ولكن عند فتح الخدمة يظ                         "
1024,                             مرحبا بك أستاذ ياسر، سعدنا بالرد عليك عبر الرسائل الخاصة، نتشرف بخدمتكم
1025,"                                               

                

                                       

                                "
1026,          السلام عليكم ورحمة الله وبركاته دمتم بخير ممكن التواصل خاص
1027, ليش كذا ؟ ، أبغا أحجز موعد ولا قادر ابداً                        
1028,                انا نفس المشكله   توكلنا و صحتي  بحجز  جرعه ثانيه  يطلع لي عذرا حدث خطا
1029," 

السلام عليكم ورحمة الله وبركاته 

يا كرام  الوافد الذي لديه بلاغ متغيب عن العمل وما تفتح له توكل                         "
1030,             انا سجلت وانا خارج المملكة وما جاني رد اعتماد اللقاح بتوكلنا
1031," انا لقحت خارج المملكة 
وقدمت في البوابه الخارجية للتطعيمات 
ووصلتني الموافقه بإعتماد اللقاح
لكن عن                         "
1032,                  هل حضرتك دخلت مباشر بعد التاشيرة الجديدة
1033,"                                                                                                    
                       "
1034, وان المشكله بتوكلنا ارجو منكم الافاده
1035," السلام عليكم 
انا غيرت عندي توكلنا من زائر لمقيم  لعند الان البرنامج معي غير محصن وماعارف اتحرك با                         "
1036, الرجاء الرد على الخاص
1037,"                شكرا جزيلا
و بالنسبة لـ غير المشمولين ؟"
1038," عزيزي مستخدم تطبيق توكلنا    نسعد بخدمتكم ونود إحاطتكم أنه جاري التعامل مع بلاغكم رقم          
وس                         "
1039, تم تسجيل الخروج والدخول من جديد ولم تحدث
1040,                هل بالامكان تزويدي بنسخة من شهادة التطعيم لعدم قدره العامل على دخول التطبيق
1041,  السلام عليكم استلمت بطاقة الأحوال واتحدثت بأبشر وما اتحدثت بتوكلنا
1042, لو سمحت شغالتي لا تظهر عندي في قائمة المكفولين رغما انه تم فتح حساب لها في توكلنا     مالسبب ؟؟
1043,                في حال أخذ الجرعة الثانية بعد ال ٩٠ يوم تصبح الحالة محصن ؟
1044,                أخذت الجرعة الاولى وانتهت مدتها وأصبحت حالتي   غير مصاب   لو أخذت الجرعة الثانية الأن ماذا تصبح حالتي ؟
1045, كيف احول توكلنا منوالوضع الداكن الى الفاتح
1046,                       تم تطبيق نفس الطريق وتطهر العبارة التالية  التذكرة موجودة بالفعل   حسب ماهو                         
1047,                      التذكرة حقتي بتوكلنا خويي هل لزم انقلها لتوكلنا حقي ولاالصورة تكفي ؟
1048, السلام عليكم  تم شراء تذاكر ساوندستورم و لم يطلب الربط مع توكلنا
1049,             ماهي الخطوات لتغييرالفصيلة
1050, السلام عليكم ، فحصت كورونا وطلعت النتيجة لكن ما ظهر للآن بالجواز الصحي وش اسوي ؟؟
1051, السلام عليكم ورحمة الله   ابني اخذ اللقاح الجرعة الثانية قبل ستة واربعون يوم ولم تتغير حالته الي م                         
1052,
1053, احاول اصدار تصريح عمرة لي ومعي مرافقين إذا اتممت الحجز يصير التصريح لفرد واحد ولا يضاف المرافقين و                         
1054," شغال الان 
 ️ مكتب العمل والجوازات
 ️ تعديل جميع المهن
 ️ انجاز منصة قوى استخراج تاشيرات
 ️ تصفير الغرامات💯
 ️ نقل                         "
1055,                        شلون اتواصل مع وزارة الصحة ؟
1056, مقدر يا ليت انتو تتواصلون
1057, كيف اربط تذاكر مباراة النصر والهلال في توكلنا
1058," السلام عليكم 
قبل امس اخذت الجرعة الثانية 
وماتم تسجيلها او تحديث الحالة في التطبيق"
1059, السلام عليكم سويت فحص لكورونا بس مايطلع لي نتيجة الفحص ولا تجي رسالة مع ان الدكتور قال يمر يوم وتطلع ايش الحل
1060,                                                                                   انا في ضيق بالتن                         
1061,                            
1062,                                                      تواصلوا مع الدعم الفني لتوكلنا 
1063, ردو خاص لوسمحتو
1064,              الغي التصريح واحجز من جديد الموعد المناسب لك
1065,                يعطيك العافيه
1066, سلام عليكم انا حجزت تذكرة ميدل بيست وماعرفت كيف ارفع التذكرة لتطبيق توكلنا يارب تفيدوني
1067,  السلام عليكم عندي مشكلة مع تطبيق توكلنا  تم اعتماد التطعيم فايزر جرعتين لي وصلني المسج وتاكدت في                         
1068,               نفس المشكله عندي من يومين احاول ويظهر حدث خطاء ممكن تفيدوني كيف احجز موعد
1069, انا اخذت اللقاح الثاني وللان م طلع عندي بنظام
1070, السلام عليكم تاخرت على الموعد بسبب المرض والان بحاول احجز يظهرلي حذث خطا في بيانات المواعيد
1071," 

سأقيم بفندق بساحة الحرم
ولم أتمكن غير حجز مغرب وعشاء الخميس فقط وعمرة الخميس وسأقيم أكثر من يوم                         "
1072," 
الرجاء الرد على الخاص"
1073,           الرجاء الرد على الخاص
1074, ردوا علي خاص ضروري
1075, ارجو الرد على الخاص
1076, عند ربط تذكره يطلع لي التذكره موجوده بالفعل لكن ما احصلها بخانه التذاكر
1077,                                                           عدنا نفس المشكلة ورحنا للحدود وما ضبط الا لازم ندخل السعودية
1078, اتمنى الرد عالخاص
1079, السلام عليكم انا اخذت الجرعه الثانيه منذ اكثر من شهر  والي الآن متحدثت حالتي بمحصن كامل وسبق وتواص                         
1080," 
كيف احجز لقاح كورونا للخادمة
وهل عادي تسافر بدون اخذ اللقاح"
1081,                هل يمكنك تقديم قائمة بالمراكز في الدمام؟
1082,"              مرحبا بك عزيزي، سعدنا بخدمتك عبر الرسائل الخاصة
نتشرف بخدمتكم"
1083, كيف اغير وقت تصريح العمرة ليتناسب مع حجز الطيران
1084,          ممكن تردوا على الخاص
1085,       هلا والله، ولا يهمِّك    إذا ممكن تتواصل مع الدعم الفني لفريق توكلنا                  وراح يعالجون مشكلتك 🙏
1086,شكرا للقائمين 
1087,                                              تعال قريب من المنفذ تجيك شبكة سعودية اربطها ورجع بيتك
1088,                         كلمتهم     كسير ولا افادا
1089,"                كيف يمكنني تعديلها ؟ 
بمن يمكنني الإتصال بالتحديد في وزارة الصحة حتى أسوي الوضعية"
1090,               نفس سؤالك
1091, السلام عليكم كيف اضيف تذكره ميدل بيست في توكلنا
1092,                         انا معى مشكله فى تاريخ الجرعات فى توكلنا ليها  شهر ولا اي افادا  يقلوا كلم                         
1093,                                     
1094," 

هل مسموح طباعة صفحة توكلنا ؟"
1095, شكرًا لكم
1096,                        ارسلت علي الخاص
1097,                                                                                                                                
1098,               وش سويت انا صار معي نفس المشكله
1099, الصحة تستثني فقط لأسباب طبية، لكن الأسباب غير الطبية ليست من اختصاصهم حسب الرد الذي تلقيته على طلبي
1100,"                        السلام عليكم ورحمة الله وبركاته 
انا حاليا جدت الجواز ازاي اقدر انقل معلوما                         "
1101," 
لو سمحت باخذ موعد للقاح كورونا عبر توكلنا يقولي المحاولة لاحقا مدري الموقع معلق والا ايش ؟"
1102, السلام عليكم                      عندي ظرف يمنعني من الحصول على اللقاح الآن كيف ممكن اقدم لأحصل عل                         
1103,"                 طيب سعادة المستشار أنا من البحرين
ماقدر اربطها الا لما اجي السعودية بعد بكره إن شاء الله 
ما يصير                         "
1104, السلام عليكم سويت الجرعة الثانيه ولم يصير لي محصن
1105,                        والله وانا نفس مشكلتك ولي شهرين ولا نزلوها وعجزت معاهم اتصالات ورسايل ع توي                         
1106,"                                 السلام عليكم 
تم ارسال على الخاص"
1107,                سويت تسجيل جديد كتب لي مسجل مسبقا
1108,                                                                                          
1109, ياليت  اخوي لو ماعليك امر  تقولي اي جهة ؟
1110,السلام عليكم ورحمة الله وبركاته ، انا مواطن كويتي قبل ٤ ايام وصلت من تركيا هل اقدر ادخل السعودية ولا لازم يمر ١٤ يوم ؟
1111,           السلام عليكم زوجتي كانت مقيمة ومحصنة جرعتين من السعودية خرجت نهائي من المملكة وعادت بتأش                         
1112, لو سمحتو اذا في احد بيريل لي التذكره  لافتتاحيه لموسم الرياض  هل بتطلع له كل معلوماتي صوره الهويه ورقمها واسمي؟
1113, تم ارسال استفسار عالخاص
1114, السلام عليكم انا طالب مبتعث ادرس في امريكا و ماخذ الجرعتين من لقاح فايزر في امريكا  كيف ممكن اغير                         
1115, الرجاء الرد بالخاص
1116, ارسلت بيانات مليون مرا  و ما استفدت شي و ما اقدر ادخل مولات و صيدلية بسبب التطبيق اخدت جرعة ثانية                         
1117,             أسعد الله مساكم بكل خير اولادي كانو مقيمين البعض منهم أخذ لقاح داخل السعوديه واللقاح ا                         
1118,                وفحص كورونا
1119,"                               

تم تطعيم الخادمة ✅ وقبل تحديث  توكلنا الاخير
  أكمل جرعات توكلنا   وهنا تواريخ الجرعات

تح "
1120,                                هل احضر في نفس الوقت او عادي اي وقت بس يكون في تصريح لنفس اليوم
1121,                                                                               تواصلنا عبر الرسائل                         
1122,"                                                                             مساءك صحة  
نحن في مرك                         "
1123,                                             طيب ايش فايدة تواجدكم على مدار الساعة وانتم ماتدرون وي                         
1124,            بتوكلنا يظهر اني ماستلمت الجرعه الاولى
1125,"                                            مساءك صحة  
نحن في مركز اتصال الصحة     متواجدين على مد                         "
1126,              المشكله تدخل خانه الجواز الصحي بتوكلنا الجرعتين موجوده لكن الحاله جرعه اولى شي عجيب صراحه
1127, اقدر اسوي اسناد لتذكرة مباراة النصر والهلال بكره؟
1128, يعني اسجل من جديد
1129, انا اخذت الجرعه الثانيه قبل اكثر من ساعتين وماتعدلت الحاله بتوكلنا ايش المشكله اشغالي معطله
1130,           لاكلمت وزاره الصحه يقولون مسجله عندنا      لكن توكلنا المشكله فيه
1131,              خله يروح لنفس المكان اللي تطعم فيه صارت لي وماسجلوني عندهم
1132, مساء الخير يا غالي عندي مشكلة وحلها مطروح بين ايديكم لاقد حصنت في اليمن جرعتين وقدمت إلى وزارة الص                         
1133, فعلاً فريق دعم رائع متميز باخلاق العاملين فيه وبسرعة استجابتهم وحلمهم ربي يسعدهم ويوفقهم هؤلاء من يفخر بهم حقاً
1134,"                      السلام عليكم 
مواطن سعودي واسكن في البحرين ، وأخذت جرعتين من لقاح سينوفارم ، وطلبت اعتماد التطعيم من "
1135, مساءً الخير  تم تجديد البطاقة  ولم يتم تغيير الصورة فئ توكلنا
1136,"     حفاظاً على سرية معلوماتك الشخصية؛ نأمل مشاركة معلوماتك عبر الرسائل الخاصة فقط  
 تطبيق توكلنا                        "
1137, شكرا لكم
1138, توي مخلص مكالمه ، قالو المشكله بتوكلنا ليست من عندنا    
1139, يعني اذا ادخل حدود السعودية اسجل فيه ويصير؟؟
1140,"                 نطالب توثيق توكلنا قبل الدفع و مشجع فريق مفضل

زي ما قال                  للموسم الرياض وتطبيق توك                         "
1141, شكراً 
1142, حقين الصحه يقولون ارسناه لتوكلنا ، وحقين توكلنا يقولون ماجانا شي  
1143, السلام عليكم   صديقي اخذ الجرعتين من اللقاح وما سجل في موقع وزارة الصحة  وانحجر وعمل فحص وطلع النت                         
1144,                                              
1145,                بس انا مو من السعوديه انا اماراتيه ما اقدر كيف اقدر اتوصل مع صحه
1146,"تروح لوزاره الصحه تدفك لتوكلنا وتروح لتوكلنا يدفك لوزاره الصحه 

وسرى الليل وحنا ماسرينا                                   "
1147,                                                                
1148,"          
 
السلام عليكم 
عندي الوالد جاته كورنا واخذ جرعة لقاح واحدة    هل تكفي لاكتمال التحصين ا                         "
1149,"                            ما شاء الله انت ذكي

بس لا تنسى تطبيق يضيف مشجع مفضل "
1150,                 مرحبا بك أستاذ راشد ، شكرا لك اقتراحك محل اهتمامنا ، نتشرف بخدمتكم
1151, لدي مقيم أمريكي وزوجته لديها هاتف غير سعوديون إدخال المعلومات يظهر لنا أن المعلومات غير صحيحه
1152, ممكن تردون خاص؟
1153,"                    مرحباً بك،
نشكر لك أهتمامك، ويسعد الزملاء في ⁦⁩ التعامل مع اقتراحك 
شكراً لتواصلك"
1154,                       شكرًا لتجاوبكم ❤️
1155,"                                    مرحباً بك،
،نشكر لك أهتمامك، ويسعد الزملاء في ⁦⁩ التعامل مع اقتراحك 
شكراً لتواصلك"
1156,"                    مرحباً بك،
،نشكر لك أهتمامك، ويسعد الزملاء في ⁦⁩ التعامل مع اقتراحك 
شكراً لتواصلك"
1157,                                            
1158,            المفروض اي شيء الكتروني يكون مربوط مع           علشان اول ما تشتري التذكرة او غيرها تلقاه بـ               
1159, انا عندي اقتراح لكم  يفيد الناس في توكلنا كثيير    ليش ما تسوون بطاقة مثل بطاقة الهوية عليها الاسم                         
1160," السلام عليكم 
مواطن سعودي واسكن في البحرين ، وأخذت جرعتين من لقاح سينوفارم ، وطلبت اعتماد التطعيم                         "
1161,
1162,                     اهاا بس ان شاء الله ماتطول 😩
1163,شكرا لتعاونكم معى فى تصحيح بياناتى لكم كل الشكر والتقدير
1164, العمرة لازم تصريح ولا التغت ؟؟؟
1165, التطبيق متعطل مايحجز مواعيد
1166,"                         مساءك صحة 
كرماً تزويدنا بالتفاصيل عبر الرسائل الخاصة  
                       "
1167, ياوزارة الصحة معلوماتي رجاءاً ارسلوها لتوكلنا وخلوهم يضيفون الجرعة لي  رجاءً رجاءً رجاءً          
1168, موجود عندي خمس تذاكر اشتريتها من شخص و ابي اوزعها على عائلتي و رفض الاسناد سؤالي هل نقدر انا و الع                         
1169, تم الاتصال على الصحه
1170," عزيزي المستفيد، 

يسعدنا خدمتكم، لقد تم إنشاء طلبكم رقم 
        
بنجاح، وتعمل الجهة المعنية على م                         "
1171,"                        

                                               
                                     

                           "
1172,"
متى يتم إصلاح العطل اللي في تطبيق توكلنا"
1173,                                 استاذ عدنان ممكن استفسر انا قدمت يوم الأربعاء للحين ماجاء الرد الم                         
1174,وضعي وانا انتظر وزارة            من اسبوع عشان يتصلون فيني ويعدلون حالتي في                         
1175,"                
أستفسر عن حالة زوجتي تقدمت بتقارير طبية لوضعها الصحي وقد مضى عليها الآن أسبوع تقري                         "
1176,"                                               ابشرك حنا   اشهر والله يعين 

بلشانين في الجواز الصحي مانعرف نسافر"
1177," مازلنا بإنتظار وزارة الصحة
                            
                                                 "
1178,                                                                                   نعتذر لذلك ونؤكّ                         
1179,                                                                         
1180,                                                                                   الصحة ما فكروا ي                         
1181,              مرحبا بك عزيزي   تعديل الحالة الصحية يتم من قبل وزارة الصحة ويظهر في توكلنا فضلا التو                         
1182," الله يبارك فيكم ويعين على تخاذل النظام بينكما انتم              
كل يرميها في الاخر
                                  "
1183,                السلام عليكم ورحمة الله وبركاته مساء الخير والعافية اليوم تما اعتماد اللقاح من وزار                         
1184,              كل شي عندكم وردكم الاخير ان تغيير الحالة من توكلنا وهم ردوا عليكم بان التغيير عندكم ف                         
1185,                                      
1186,"          المعذره على التأخير بالرد

من ناحبة المواطن ما اعرف الآليه بالكامل بالتسجيل

انا مقيم و ل                         "
1187, السلام عليكم زوجتي كانت مقيمة ومحصنة جرعتين من السعودية خرجت نهائي من المملكة وعادت بتأشيرة زيارة                         
1188,                                                     السلام عليكم اخي العزيز اريد منك استفسار انا و                         
1189,                          احس انها مشكله عامه عند اغلب المستخدمين يمكن بعد فتره تزبط 
1190, الحالة الصحية متعطلة عندي                        
1191,"                                  مساءك صحة 
نرجو تزويدنا برقم البلاغ للمتابعة عن طريق الرسائل الخا                         "
1192,"            مساءك صحة
نعتذر لذلك ونؤكّد لكم أن ملاحظاتكم محل اهتمامنا وعنايتنا ، نحرص دائماً في مرك                         "
1193, مرحبا انا كنت حاجزه موعد للجرعه الثانيه وحصل ظرف ومارحت الحين ابي احجز يطلعلي حدث خطأ كيف اقدر احجز مره ثانيه
1194," شكرا لكم 
ظهرت لي التذاكر"
1195, السلام عليكم بنتي اخذت اللقاح جرعة بالمملكة و اخري خارج المملكة تم رفع الطلب علي موقع الوزارة و ال                         
1196, اخذت الجرعة الاولى ثم طلبت استثناء وتمت الموافقة ولكن طولت ما تغيرت الحالة الى مستثنى ورحت اخذت ال                         
1197, اخذت الجرعة الاولى ثم طلبت استثناء وتمت الموافقة ولكن طولت ما تغيرت الحالة الى مستثنى ورحت اخذت ال                         
1198,         ابغى احجز الجرعة الثانية ويطلع لي عذراً حدث خطأ ما الرجاء المحاولة لاحقا ؟
1199,"           شغال الان 
 ️ مكتب العمل والجوازات
 ️ تعديل جميع المهن
 ️ انجاز منصة قوى استخراج تاشيرات                         "
1200,"           شغال الان 
 ️ مكتب العمل والجوازات
 ️ تعديل جميع المهن
 ️ انجاز منصة قوى استخراج تاشيرات                         "
1201," السلام عليكم 
موعد الجرعة الثانية لعاملتي المنزلية لا يظهر لدي في توكلنا فهل هناك مشكلة ؟"
1202, بالنسبه للاطفال اقل من    سنه المسافرين الى المملكه العربيه السعوديه مع عوائلهم،  هل ملزمين بالتسج                         
1203," رددتم علي باستفسار آخر ولم يعد هناك أي رد آخر
أرجو أن يتم الإجابه على استفساري لو سمحتم الأمر ملح"
1204, ياوزارة الصحة    عطوني ايميل ارسل عليه شهادة تطعيم العامل وجوازه    بدل خدماتكم الالكترونية اللي م                         
1205,               متى تظهر الهوية الوطنية بعد تجديدها في تطبيق توكلنا ؟               
1206,"سلام عليكم ورحمة الله وبركاته للي معه جرعه من داخل المملكه وهو الآن خارج هل تختفي من تطبيق توكلنا
"
1207, السلام عليكم اين اجد فايزر في الرياض؟؟
1208,بخصوص حجز موعد، كل ما حجزت في مركز للحرعة الثانية يرفض  حدث خطأ ما الرجاء المحاولة في وقت لاحق  ؟؟؟ 
1209, كيف أستطيع الوصول على جواز السفر الصحي لشخص كان قد أتم أخذ جرعات مطعوم فايروس كورونا في السعوديه؟                         
1210,"                                                يا اخوان كورونا ليست حجة لتعقيدالامور 
لماذا لم يتم حل مشكلتي للان؟                         "
1211, شكراً
1212,"    
                 "
1213, لو سمحتوا ردوا
1214,       هذا هو السبب                        
1215, لوسمحت بكره ابي  اخذ الجرعه الثانيه وعندي موعد للاحوال الساعه  متى يصدر محصن بالتطبيق
1216,              طيب انا اخذت جرعه وحده فايزر في المملكة وحالياً انا خارج المملكة اقدر أخذ الجرعه الثانيه استرزينكا؟ 
1217," السلام عليكم ورحمة الله وبركاته 
انا اولادي كانو مضافين مع امهم برقم الحدود والان فصلتهم وعملت لهم                         "
1218, لم يتم الرد علي حتى الان 
1219, خمسة أشهر وأنا مواطن لا يستطيع ابراز توكلنا لوجود مشكلة فنية تمنعني من تحميله وتشغيله 
1220, ممكن تفتح الخاص
1221, لو سمحتوا ردوا خاص
1222, وكذلك المحادثة على الرسائل الخاصة توقفت دون اشارة للخطوة القادمة
1223, مايظهر عندي اي تحكم او طلب في تصاريح العمره ليش
1224,"             شغال الان 
 ️ مكتب العمل والجوازات
 ️ تعديل جميع المهن
 ️ انجاز منصة قوى استخراج تاشير                         "
1225,"               شغال الان 
 ️ مكتب العمل والجوازات
 ️ تعديل جميع المهن
 ️ انجاز منصة قوى استخراج تاش                         "
1226," وش الحل طيب ولازم يكون توكلنا  مفتوح و شغال معي بالمنفذ عشان يتم التاكد اني محصن وادخل
ايش الحل بذي الحالة؟"
1227," السلام عليكم و رحمة الله و بركاته
                                          ?"
1228, السلام عليكم تلفوني ظايع وانا خارج السعودية عندي رقم ابي استبدله عشان لازم يكون شغال معي توكلنا وض الطريقة
1229, اووكي شكرااااا
1230, لا تزال المشكلة قائمة من خمسة أشهر
1231," 
مرحبا بيانات التحصين ترسل من وزارةالصحة وتظهر في توكلنا، فضلا التواصل مع وزارة الصحة على الرقم                            "
1232,"                                   نفس الكلام ورفعت اكثر من بلاغ بدون فايدة
هم بأنفسهم مايدرون الخلل من فين"
1233, لو سمحتو توكلنا حصل له عطل عندي يطلع عندي حدث خطاء ما وسويت خروج ونفس الشيء
1234, لم يظهر للعامله المنزليه التحصين بالجرعتين في تطبيق توكلنا، هل تستطيع الدخول المستوصف بدون ابراز توكلنا؟
1235, كيف ارفع شكوى ؟
1236," مساء الخير 
حضرتك انا زوجتى كانت معايا زيارة واخدت جرعة داخل المملكة وبعدين نزلت مصر جددت الجواز و                         "
1237, مساء الخير عندي مشكله لما اجي اسوي تسجيل دخول في توكلنا                        
1238, السلام عليكم انا ضفت عمتي كمرافق لي بتصريح العمرة ولها يومين معلقه مع العلم قبل يومين قبلت هي ايش السبب
1239,"أكثر من بلاغ في أكثر من   أشهر ولم يتم حل المشكلة وأصبحت متضرر كثيرا
في صفحة توكلنا الرئيسية جرعة واحدة
وفي صحتي جر                         "
1240,"تصفير المقابل المالي وإصدار كرت عمل    
￼إلغاء بلاغ هروب بدون
￼الغاء خروج نهائي
￼بلاغ هروب أقامة منتهية
￼تعديل من م                         "
1241,"          شغال الان 
 ️ مكتب العمل والجوازات
 ️ تعديل جميع المهن
 ️ انجاز منصة قوى استخراج تاشيرات                         "
1242, لارديتو ولا شيء
1243, خاص
1244,                                                                               
1245,                      هذي صورة الجرعات ف كل من صحتي والجواز الصحي ف توكلنا   التواريخ معكوسة وغير م                         
1246,                     تواصلنا مع توكلنا ووضحو لنا سبب المشكلة  المشكلة انكم في صحتي عكستم تواريخ الجرعات وضعتم تاريخ                         
1247," 
السلام عليكم 
تظهر رسالة عند طلب التسجيل في توكلنا أن رقم الجوال مستخدم، مع إنه لم يستخدم من قبل للتسجيل 
كيف نحل المشكلة؟"
1248,          السلام عليكم   بفضل الله اخذت الجرعة الأولى في المملكة والثانية خارج المملكة   كيف اعرف ا                         
1249,"
             
         
         
           
              
سيدي خادم الحرمين الشريفين
ارفع شكواي                         "
1250,                             تواصلت معنا وزارةالصحة بان البلاغ مكتمل وبلغونا بالتواصل مع الدعم الفني لتوكلنا  تواصل                         
1251,"من فضلك ، أرسل بيانات التطعيم الخاصة بي إلى توكلنا وصحتي  عاجل جدا 

 
               
          
            "
1252, شكرا لك
1253, السلام عليكم ورحمة الله وبركاته الرجاء منكم التواصل معي عبر الخاص
1254,                تواصلت فعلا بوزارة الصحة وقالوا تم ارسال بياناتكم الى جهات الاختصاص  كيف يتم حل المشكلة بارك الله فيكم
1255," 
السلام عليكم 
غيرت رقمي في ابشر ولما ابغيره الرقم من توكلنا يرفض تغيير
 رقمي في ابشر تغير وفي توك                         "
1256,                شكرا لكم
1257," 
السلام عليكم 
تم اخذ اللقاح خارج المملكة وربطها في منصة مقيم وتم اعتماد الطلب تم التواصل مع الصحة                         "
1258,"                
استهلاك البطارية غير طبيعي، وأصبح فعلاً مزعج   أتمنى من مبرمجيكم الانتباه على استه                         "
1259," السلام عليكم ورحمة الله وبركاته 
الأعزاء تطبيق توكلنا 
لدي مشكله في التقرير الطبي لدى أولادي حيث أ                         "
1260, السلام عليكم  مقدم شكوه  عليكم انا ماخذ الجرعه الاولي ولم تسجل
1261, متا سوف يصبح غير إجباري استخدام التطبيق
1262, هل يلزم مسحة     للمواطن الحاصل على جرعة واحدة عند العودة للمملكة ؟
